latitude,longitude,accommodates,price,minimum_nights,maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_location,calculated_host_listings_count,reviews_per_month,bathrooms,Air conditioning,TV,Extra pillows and blankets,Heating,time_since_first_review,time_since_last_review,host_days_active,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room
38.67128,-9.23064,6,95.0,2,1125,0,72,21,8,2,4.86,4.76,1,0.56,1.0,0,1,0,0,1130.0,11.0,1160.0,1,0,0,0
39.1659,-8.88479,2,25.0,1,1125,12,338,8,8,1,5.0,4.63,1,2.14,1.0,0,1,0,0,112.0,14.0,2901.0,0,0,1,0
39.30664,-9.3376,6,65.0,5,1125,29,269,37,16,1,4.78,4.28,2,0.89,3.0,0,1,1,0,1243.0,27.0,1658.0,1,0,0,0
38.68436,-9.3511,4,174.0,2,90,0,24,10,10,3,4.6,4.9,20,1.75,3.0,0,1,1,1,171.0,19.0,1606.0,1,0,0,0
39.308548,-9.338993,4,59.0,3,25,20,170,12,5,3,4.25,4.83,3,0.27,1.0,0,1,0,0,1350.0,16.0,1471.0,1,0,0,0
38.98794,-9.42085,1,25.0,2,1125,0,256,47,5,0,4.91,4.81,7,0.75,3.0,0,1,0,1,1887.0,162.0,2001.0,0,0,0,1
38.71241,-9.12706,3,54.0,2,21,4,304,166,45,4,4.78,4.89,1,1.62,1.0,0,1,1,1,3065.0,3.0,4538.0,1,0,0,0
38.684052,-9.154102,2,29.0,1,14,9,209,29,29,5,4.9,4.62,2,5.37,1.0,0,0,1,0,162.0,2.0,3326.0,0,0,1,0
38.71082,-9.12719,4,90.0,5,1125,0,8,353,22,2,4.58,4.83,1,2.48,1.0,0,1,0,1,4274.0,9.0,4504.0,1,0,0,0
38.71156,-9.12987,4,60.0,2,1125,1,268,339,56,4,4.79,4.87,1,2.7,1.0,0,1,0,1,3767.0,5.0,4503.0,1,0,0,0
38.6841093,-9.1524529,4,140.0,4,1125,0,313,6,6,1,5.0,4.83,1,3.21,1.0,1,1,1,0,56.0,26.0,75.0,1,0,0,0
39.331122,-9.2713687,3,52.0,1,10,30,360,19,19,8,4.84,4.58,2,6.2,1.0,0,0,1,0,92.0,3.0,1284.0,0,0,1,0
