host_since,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,price,minimum_nights,maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_location,calculated_host_listings_count,reviews_per_month,bathrooms,Air conditioning,TV,Extra pillows and blankets,Heating
2019-07-12,Belm,38.67128,-9.23064,Entire home/apt,6,95.0,2,1125,0,72,21,8,2,2019-08-11,2022-09-03,4.86,4.76,1,0.56,1.0,0,1,0,0
2014-10-05,Aveiras de Cima,39.1659,-8.88479,Private room,2,25.0,1,1125,12,338,8,8,1,2022-05-25,2022-08-31,5.0,4.63,1,2.14,1.0,0,1,0,0
2018-03-01,Lourinh e Atalaia,39.30664,-9.3376,Entire home/apt,6,65.0,5,1125,29,269,37,16,1,2019-04-20,2022-08-18,4.78,4.28,2,0.89,3.0,0,1,1,0
2018-04-22,Carcavelos e Parede,38.68436,-9.3511,Entire home/apt,4,174.0,2,90,0,24,10,10,3,2022-03-27,2022-08-26,4.6,4.9,20,1.75,3.0,0,1,1,1
2018-09-04,Lourinh e Atalaia,39.308548,-9.338993,Entire home/apt,4,59.0,3,25,20,170,12,5,3,2019-01-03,2022-08-29,4.25,4.83,3,0.27,1.0,0,1,0,0
2017-03-23,Santo Isidoro,38.98794,-9.42085,Shared room,1,25.0,2,1125,0,256,47,5,0,2017-07-15,2022-04-05,4.91,4.81,7,0.75,3.0,0,1,0,1
2010-04-12,Santa Maria Maior,38.71241,-9.12706,Entire home/apt,3,54.0,2,21,4,304,166,45,4,2014-04-24,2022-09-11,4.78,4.89,1,1.62,1.0,0,1,1,1
2013-08-06,Estrela,38.684052,-9.154102,Private room,2,29.0,1,14,9,209,29,29,5,2022-04-05,2022-09-12,4.9,4.62,2,5.37,1.0,0,0,1,0
2010-05-16,Santa Maria Maior,38.71082,-9.12719,Entire home/apt,4,90.0,5,1125,0,8,353,22,2,2011-01-01,2022-09-05,4.58,4.83,1,2.48,1.0,0,1,0,1
2010-05-17,Santa Maria Maior,38.71156,-9.12987,Entire home/apt,4,60.0,2,1125,1,268,339,56,4,2012-05-22,2022-09-09,4.79,4.87,1,2.7,1.0,0,1,0,1
2022-07-01,Estrela,38.6841093,-9.1524529,Entire home/apt,4,140.0,4,1125,0,313,6,6,1,2022-07-20,2022-08-19,5.0,4.83,1,3.21,1.0,1,1,1,0
2019-03-10,So Bartolomeu dos Galegos e Moledo,39.331122,-9.2713687,Private room,3,52.0,1,10,30,360,19,19,8,2022-06-14,2022-09-11,4.84,4.58,2,6.2,1.0,0,0,1,0
2015-03-09,Cascais e Estoril,38.69384,-9.37473,Entire home/apt,4,146.0,3,180,11,52,11,11,1,2022-05-25,2022-08-18,4.55,4.82,5,2.95,1.0,0,1,0,0
2015-08-07,Estrela,38.68557,-9.15016,Entire home/apt,5,90.0,2,9,11,18,5,5,2,2022-07-11,2022-09-01,5.0,5.0,1,2.31,1.0,0,1,1,0
2010-05-20,Avenidas Novas,38.74571,-9.15264,Entire home/apt,3,60.0,5,365,0,203,47,4,0,2010-07-24,2021-12-21,4.67,4.68,1,0.32,1.0,1,1,0,1
2010-06-01,Misericrdia,38.71062,-9.149,Entire home/apt,2,81.0,1,1125,2,323,135,15,7,2011-10-12,2022-09-08,4.45,4.76,7,1.01,1.0,0,1,0,0
2010-08-31,Misericrdia,38.71195,-9.14463,Entire home/apt,2,70.0,5,365,0,229,28,10,3,2011-07-18,2022-09-02,4.3,4.59,6,0.21,1.5,0,1,0,1
2019-02-19,"Manique do Intendente, V.N.de S.Pedro e Maussa",39.1631,-8.83383,Private room,2,50.0,1,1125,0,247,64,9,0,2019-07-21,2022-02-27,4.8,4.8,4,1.67,1.0,0,0,0,0
2017-11-04,Belm,38.6708,-9.23035,Entire home/apt,5,150.0,3,1125,23,338,9,5,1,2018-07-17,2022-08-17,4.88,4.75,2,0.18,1.0,0,1,0,1
2018-05-21,Misericrdia,38.68663,-9.14882,Private room,2,39.0,3,29,24,316,60,13,2,2018-06-27,2022-09-03,4.43,4.78,11,1.17,1.0,0,0,0,0
2010-08-31,Cascais e Estoril,38.6965,-9.42571,Entire home/apt,4,84.0,5,1125,0,149,45,12,2,2015-04-05,2022-08-27,4.93,4.98,1,0.5,1.0,0,1,1,0
2021-10-22,Vila Franca de Xira,38.9133,-8.88915,Private room,5,74.0,2,365,21,356,11,11,3,2022-03-21,2022-09-05,4.82,4.73,1,1.86,1.5,0,1,0,0
2022-07-06,Estrela,38.67812,-9.16204,Entire home/apt,4,100.0,4,365,9,329,1,1,1,2022-08-21,2022-08-21,5.0,5.0,1,1.0,1.5,1,1,1,0
2015-03-30,Estrela,38.68053,-9.16025,Entire home/apt,4,70.0,3,30,0,106,75,0,0,2017-07-04,2021-09-02,4.76,4.55,2,1.19,1.0,1,1,1,1
2015-10-07,Estrela,38.68209,-9.15679,Private room,5,120.0,1,365,15,350,1,1,0,2022-06-27,2022-06-27,5.0,5.0,4,0.38,1.0,1,1,0,0
2015-11-24,Cadaval e Pro Moniz,39.23414,-9.14423,Entire home/apt,6,103.0,3,21,16,176,25,6,1,2018-07-26,2022-08-21,4.92,4.52,1,0.5,3.0,0,1,0,0
2010-09-09,Estrela,38.70388,-9.16546,Entire home/apt,4,60.0,2,365,0,75,37,0,0,2011-12-13,2019-11-05,4.52,4.52,2,0.28,2.0,0,1,0,0
2017-01-05,Painho e Figueiros,39.31746,-9.06483,Entire home/apt,8,161.0,1,28,28,363,6,1,0,2018-08-27,2022-07-30,4.67,4.33,1,0.12,3.0,0,1,0,1
2011-09-20,Santa Maria Maior,38.71102,-9.12995,Shared room,2,42.0,1,1125,4,321,349,48,9,2012-12-03,2022-09-13,4.78,4.91,2,2.93,1.0,1,1,0,0
2017-10-29,Estrela,38.67932,-9.16278,Entire home/apt,6,150.0,1,1125,23,83,4,4,4,2022-08-19,2022-09-09,4.25,5.0,1,4.0,1.0,0,1,1,0
2018-01-23,So Bartolomeu dos Galegos e Moledo,39.33203,-9.27117,Private room,2,47.0,1,10,12,342,9,3,0,2019-09-05,2022-06-15,4.33,4.56,2,0.24,1.0,0,0,0,0
2011-05-25,So Vicente,38.71478,-9.1241,Entire home/apt,3,70.0,3,365,2,316,165,17,3,2012-05-11,2022-08-31,4.43,4.74,3,1.31,1.0,0,0,0,1
2011-09-26,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.80669,-9.397194,Entire home/apt,6,200.0,4,365,12,310,54,9,1,2013-06-17,2022-08-24,4.81,4.83,1,0.48,2.5,0,1,1,1
2010-10-25,So Vicente,38.71851,-9.12439,Entire home/apt,2,112.0,3,180,15,349,167,24,0,2011-01-05,2022-08-13,4.61,4.53,7,1.17,1.0,0,1,1,1
2013-06-14,Belm,38.6707626,-9.1949132,Private room,4,57.0,2,365,0,270,13,13,2,2022-06-29,2022-09-06,4.77,4.77,1,5.06,1.5,0,1,1,0
2021-05-14,Estrela,38.67631,-9.15989,Private room,2,40.0,3,30,8,324,8,8,0,2022-05-22,2022-07-28,4.88,4.88,4,2.09,1.5,0,0,0,0
2011-01-05,So Vicente,38.719852,-9.129011,Entire home/apt,2,80.0,3,60,4,122,243,30,1,2011-08-16,2022-08-16,4.44,4.67,2,1.8,1.0,0,1,0,0
2011-10-18,Colares,38.840667724609375,-9.46168041229248,Entire home/apt,6,200.0,5,1125,24,351,28,1,0,2012-07-21,2022-07-09,4.48,4.89,1,0.23,1.0,0,1,0,0
2016-06-29,Estrela,38.67674,-9.15576,Private room,1,20.0,2,7,0,247,1,0,0,2021-08-15,2021-08-15,5.0,5.0,1,0.08,1.0,0,1,1,0
2011-05-31,Santa Maria Maior,38.71379,-9.13521,Entire home/apt,2,83.0,7,366,2,326,437,18,1,2011-11-18,2022-08-27,4.67,4.81,2,3.32,1.0,1,1,1,1
2011-10-19,Arroios,38.71686,-9.14014,Entire home/apt,2,104.0,3,730,1,281,55,22,1,2012-08-28,2022-08-19,4.73,4.51,14,0.45,1.0,1,1,1,1
2011-10-19,Misericrdia,38.71004,-9.15209,Entire home/apt,2,83.0,2,350,1,288,194,11,6,2011-11-08,2022-09-10,4.88,4.88,5,1.47,1.0,0,1,1,1
2010-05-27,Campo de Ourique,38.71879,-9.15853,Entire home/apt,2,100.0,14,200,7,236,3,3,0,2022-05-05,2022-07-29,5.0,5.0,1,0.68,1.0,0,1,1,0
2013-09-02,Estrela,38.6877,-9.14972,Entire home/apt,2,103.0,3,90,1,78,22,14,1,2019-08-24,2022-08-27,4.86,4.91,4,0.59,1.0,0,1,0,1
2017-09-26,So Vicente,38.71343,-9.12557,Entire home/apt,2,81.0,3,365,2,308,368,33,2,2012-01-01,2022-08-19,4.73,4.89,14,2.82,1.0,0,1,0,0
2011-10-24,Santa Maria Maior,38.71081,-9.12816,Entire home/apt,4,151.0,3,120,16,64,277,36,1,2012-07-11,2022-08-21,4.65,4.85,1,2.24,1.0,1,1,1,1
2016-05-18,Azambuja,39.02891,-8.79595,Entire home/apt,6,65.0,1,1125,21,356,15,8,1,2017-09-29,2022-09-04,4.6,4.67,2,0.25,1.0,0,1,0,1
2011-11-05,Misericrdia,38.71165,-9.1463,Entire home/apt,4,77.0,3,90,1,216,338,16,1,2012-02-21,2022-08-24,4.69,4.73,1,2.63,1.0,0,1,1,1
2011-04-27,So Vicente,38.71838,-9.129015,Entire home/apt,4,76.0,2,300,1,299,92,28,5,2016-07-09,2022-09-13,4.74,4.83,12,1.22,1.0,0,1,0,0
2011-02-23,Campolide,38.72729,-9.16317,Entire home/apt,4,80.0,28,1125,0,235,29,5,4,2012-08-19,2022-09-09,4.43,4.08,9,0.24,1.0,0,1,0,0
2021-05-14,Estrela,38.67553,-9.16206,Private room,2,36.0,3,30,8,343,11,11,2,2022-05-23,2022-09-05,4.82,4.73,4,2.89,1.5,0,0,1,0
2018-01-23,So Bartolomeu dos Galegos e Moledo,39.33169,-9.27164,Private room,3,50.0,1,10,12,342,77,7,0,2019-07-31,2022-06-05,4.55,4.56,2,2.02,1.0,0,0,1,0
2012-08-12,Estrela,38.68504,-9.15012,Private room,2,200.0,1,1125,0,255,5,0,0,2018-05-13,2018-09-15,3.8,4.2,3,0.09,1.0,0,0,0,0
2021-10-19,Belm,38.67226,-9.2306,Private room,2,70.0,1,30,5,337,9,9,3,2022-04-01,2022-09-11,5.0,4.89,9,1.63,1.0,1,1,0,0
2022-07-08,Estrela,38.6736,-9.16464,Entire home/apt,4,143.0,3,90,0,132,1,1,0,2022-08-13,2022-08-13,5.0,5.0,1,0.94,1.5,0,1,1,1
